Source,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
4689647027863887232,6.52015526830,-71.93879546692,,,,,,21.001220,,
4689647027863888512,6.52520636915,-71.94484946620,2.4670,2.848,-1.520,1.742,1.912,20.878723,21.541710,20.520592
4689647027863889280,6.52839227587,-71.94125487665,0.1393,4.524,-3.761,0.803,0.924,20.459010,21.037062,19.822351
4689647027863891328,6.53610760961,-71.93532167110,-1.1382,3.227,-2.777,2.242,1.762,20.817402,21.457113,19.936974
4689647027863891712,6.53786037332,-71.93463692114,-0.0515,2.840,-6.945,1.669,2.238,20.839851,,
4689647027863894784,6.55018681113,-71.93974233467,-0.2954,5.191,-2.672,0.744,0.964,20.507988,21.092281,19.902828
4689647027863897472,6.56261646208,-71.93405495833,-0.9798,-1.399,-2.094,1.768,2.031,20.746560,21.319935,20.435589
4689647027863899136,6.56838051498,-71.93462451078,0.0620,5.524,-1.783,0.713,1.107,20.552973,21.275116,20.089329
4689647032140133120,6.56401144953,-71.93122505389,0.2730,5.152,-1.679,0.422,0.471,19.846676,20.449852,19.239254
4689647032140135808,6.54391806390,-71.93439440065,0.2196,5.542,-2.858,0.205,0.251,18.838457,19.158033,18.294977
4689647032140137856,6.52308495269,-71.93519929801,0.2536,4.837,-2.601,0.122,0.127,18.024508,18.317505,17.534716
4689647032140138240,6.52784466477,-71.93613489791,0.0832,4.957,-2.223,0.156,0.170,18.562769,18.909540,18.070633
4689647032140140032,6.55132421530,-71.94104317519,0.0966,4.922,-2.572,0.145,0.150,18.293036,18.590069,17.821907
4689647032140140544,6.52380708095,-71.93952911956,,,,,,21.048650,,
4689647032140141696,6.53580714041,-71.94138135365,0.8855,4.889,-2.468,0.471,0.478,19.973862,20.508396,19.347548
4689647032140144640,6.52116106749,-71.94253337631,0.3337,5.353,-3.097,0.155,0.158,18.441810,18.809084,17.963863
4689647032140145280,6.51753307972,-71.94377682917,0.5594,6.895,-0.297,0.779,0.544,20.033895,17.344624,16.420002
4689647032140146432,6.52138083779,-71.94551647678,-0.7889,2.625,2.541,0.389,0.452,19.157438,,
4689647032140339840,6.55729544302,-71.93911111107,-2.7383,6.563,-0.278,1.540,2.524,20.835460,21.208456,19.837461
4689647032140379904,6.55317502324,-71.93514627862,,,,,,21.035912,21.391520,20.349077
4689647032140380288,6.56088693183,-71.92975032056,,,,,,21.061235,22.171896,20.523542
4689647032140380416,6.56758605524,-71.92757964835,,,,,,21.144169,21.883282,20.454220
4689647032140400768,6.52310634889,-71.93776044423,,,,,,21.032207,21.089342,20.028229
4689647032140401024,6.52812876788,-71.94185287434,,,,,,20.958450,,
4689647032146938368,6.54079193447,-71.93096048970,,,,,,20.890957,,
4689647032146940416,6.52713395557,-71.93421918149,,,,,,20.113258,,
4689647032146942464,6.54854457818,-71.94106611908,0.2686,4.958,-2.677,0.122,0.147,18.046934,18.362877,17.576225
4689647032146942976,6.52015244088,-71.93926293678,-0.1877,0.177,-1.359,0.112,0.115,17.920500,18.491488,17.189753
4689647032146943488,6.52397740350,-71.94102631213,-0.0295,5.047,-2.432,0.142,0.144,18.206104,18.507402,17.718525
4689647032146945664,6.51741251161,-71.94339004868,0.2681,4.779,-2.715,0.052,0.052,16.394940,16.566517,16.066833
4689647032147026560,6.55713011791,-71.92894099976,-0.4123,4.496,-1.385,0.389,0.412,19.838430,20.278950,19.056257
4689647032147026944,6.55656605102,-71.93006462596,0.4444,5.103,-2.051,0.428,0.448,19.930197,20.501450,19.307848
4689647032148972800,6.53387843061,-71.94441044379,-0.0757,5.427,-2.481,0.262,0.272,19.228659,19.671839,18.708931
4689647062200379264,6.60091370525,-71.92962693468,0.0996,0.490,-1.442,0.434,0.443,19.861208,20.180640,19.191135
4689647062200382208,6.61699850005,-71.92427969731,-0.3908,5.667,-2.886,0.388,0.382,19.696117,20.192406,19.091343
4689647062200382976,6.61954012111,-71.92278816532,-0.8028,5.479,-2.664,1.172,1.431,20.768349,21.515244,20.339533
4689647062200493568,6.60468062289,-71.92159801410,0.6182,4.903,-2.578,0.362,0.383,19.582443,20.114836,19.070270
4689647062200877696,6.61895975069,-71.91597394745,1.0099,4.755,-1.056,0.733,0.778,20.470806,21.179623,20.041193
4689647062200984192,6.58084132657,-71.92307649614,0.2898,4.714,-1.861,0.136,0.149,18.202307,18.539390,17.725990
4689647062201329792,6.57750886667,-71.93393985898,0.4228,4.740,-2.017,0.158,0.162,18.453180,18.827084,17.955301
4689647062201329920,6.57255151405,-71.93066763671,-0.1217,5.198,-2.367,0.218,0.276,18.869623,19.285046,18.338661
4689647062201335296,6.60164216282,-71.92577446430,0.3502,5.099,-2.049,0.164,0.157,18.409018,18.763401,17.920866
4689647062201335424,6.57287905121,-71.92639230896,0.2789,4.939,-2.292,0.088,0.100,17.572319,17.877878,17.085344
4689647062201338112,6.59152853214,-71.92537828391,0.1899,5.185,-2.658,0.160,0.172,18.544027,18.907505,18.065289
4689647062201349120,6.60233239792,-71.91817470946,0.0646,5.407,-2.771,0.122,0.132,18.150307,18.471857,17.705630
4689647062201349376,6.59661429955,-71.92118694632,0.1039,5.054,-2.008,0.151,0.161,18.399132,18.705387,17.887047
